,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,36138,0.69 (0.4),0.07 (0.0),36138,9.53 (5.47),49.03 (33.44),0.94 (0.41),0.7 (0.03),1.65
1,2,21917,0.81 (0.41),0.1 (0.0),21917,7.79 (3.9),42.82 (27.94),0.86 (0.39),0.81 (0.15),2.58
2,3,8503,1.1 (0.43),0.15 (0.0),8503,7.41 (2.91),40.85 (23.53),0.89 (0.39),0.8 (0.15),2.56
3,4,3325,1.43 (0.52),0.21 (0.0),3325,6.71 (2.46),44.14 (22.47),0.9 (0.47),0.78 (0.16),2.56
4,5,1297,1.81 (0.64),0.3 (0.0),1297,5.94 (2.11),47.23 (23.54),0.85 (0.43),0.76 (0.19),3.01
5,6,431,2.31 (0.81),0.44 (0.02),431,5.3 (1.74),54.77 (24.93),0.71 (0.45),0.79 (0.36),6.63
6,7,65,2.76 (0.99),0.62 (0.0),65,4.44 (1.6),64.12 (23.39),0.61 (0.47),0.91 (0.32),16.25
7,8,4,3.58 (1.35),0.89 (0.0),4,4.03 (1.52),40.72 (14.07),0.7 (0.31),0.95 (0.29),4.0
8,9,1,3.48 (0.0),1.27 (0.0),1,2.73 (0.0),58.67 (0.0),0.13 (0.0),1.53 (0.0),
9,,71681,0.84 (0.5),0.1 (0.05),71681,8.52 (4.72),45.95 (30.29),0.9 (0.41),0.75 (0.12),4.36
