,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,36139,0.69 (0.4),0.07 (0.0),36139,9.53 (5.47),49.02 (33.44),0.94 (0.41),0.7 (0.03),1.65
1,2,21918,0.81 (0.41),0.1 (0.0),21918,7.79 (3.9),42.82 (27.94),0.86 (0.39),0.81 (0.15),2.58
2,3,8506,1.1 (0.43),0.15 (0.01),8506,7.41 (2.91),40.87 (23.56),0.89 (0.39),0.8 (0.15),2.55
3,4,3336,1.44 (0.66),0.21 (0.03),3336,6.71 (2.5),44.18 (22.52),0.91 (0.73),0.78 (0.16),2.45
4,5,1359,1.88 (0.92),0.32 (0.14),1359,5.99 (2.51),48.19 (24.04),0.98 (1.92),0.76 (0.21),2.41
5,6,565,2.68 (1.73),0.51 (0.31),565,5.65 (3.39),56.62 (26.12),1.49 (5.41),0.77 (0.4),2.28
6,7,248,5.94 (5.74),0.88 (0.53),248,8.38 (8.04),61.35 (27.65),2.94 (8.68),0.77 (0.35),2.32
7,8,107,7.52 (7.48),1.24 (0.46),107,7.29 (8.2),49.15 (23.15),3.01 (6.08),0.87 (0.44),1.78
8,9,60,9.44 (7.87),1.91 (0.6),60,6.01 (6.55),45.15 (25.32),5.83 (19.12),0.89 (0.32),2.73
9,10,22,9.52 (9.26),2.58 (0.6),22,4.37 (5.88),40.06 (27.53),2.62 (5.96),1.0 (0.21),1.38
10,11,16,9.09 (9.56),4.26 (2.36),14,2.87 (3.34),25.78 (21.43),12.18 (38.49),1.09 (0.61),
11,,72276,0.89 (0.92),0.11 (0.14),72274,8.51 (4.75),46.03 (30.29),0.93 (1.21),0.75 (0.13),2.01
