,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,104,4.86 (4.98),0.92 (0.72),104,6.83 (6.45),54.96 (28.22),2.26 (4.3),0.86 (0.43),
1,2,102,4.25 (4.03),1.24 (0.48),102,4.14 (4.28),52.79 (31.32),4.33 (11.54),0.96 (0.48),
2,3,62,7.7 (8.15),1.77 (0.58),62,4.92 (5.68),42.31 (25.17),3.07 (9.33),1.03 (0.41),
3,4,20,6.77 (4.49),2.61 (0.57),20,2.77 (2.09),34.72 (24.47),2.47 (6.25),1.02 (0.21),
4,5,9,5.41 (5.18),5.45 (2.55),9,1.3 (1.63),23.05 (23.72),18.32 (46.88),1.18 (0.73),
5,,297,5.39 (5.66),1.46 (1.12),297,5.06 (5.49),49.24 (29.43),3.64 (12.13),0.95 (0.45),0
