,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,299,5.64 (5.07),0.73 (0.52),299,9.35 (7.7),61.26 (27.29),3.76 (9.48),0.64 (0.36),1.74
1,2,172,6.18 (7.21),1.19 (0.55),172,6.56 (8.51),59.13 (30.23),3.84 (9.5),0.86 (0.45),2.0
2,3,86,8.18 (7.85),1.72 (0.61),86,5.34 (5.46),45.91 (25.03),4.67 (16.15),0.93 (0.41),3.19
3,4,27,9.12 (8.25),2.64 (0.53),26,3.51 (3.04),35.87 (23.71),2.27 (5.53),0.93 (0.27),2.25
4,5,12,7.88 (6.87),4.81 (2.47),11,2.35 (2.61),27.39 (23.58),15.26 (42.9),1.16 (0.67),
5,,596,6.36 (6.48),1.18 (0.96),594,7.56 (7.71),56.68 (28.79),4.06 (12.13),0.77 (0.42),1.84
