,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,195,6.05 (5.06),0.63 (0.33),195,10.7 (7.98),64.61 (26.17),4.56 (11.23),0.53 (0.26),
1,2,70,8.98 (9.53),1.11 (0.63),70,10.09 (11.4),68.37 (25.93),3.13 (5.18),0.71 (0.36),
2,3,24,9.44 (6.87),1.6 (0.68),24,6.43 (4.67),55.21 (22.1),8.79 (26.18),0.67 (0.28),
3,4,6,12.25 (8.85),2.68 (0.36),6,4.52 (3.38),39.71 (20.55),1.58 (1.29),0.63 (0.24),
4,5,2,12.74 (5.84),3.04 (0.29),2,4.42 (2.34),46.93 (7.7),1.52 (1.18),1.04 (0.22),
5,,297,7.19 (6.83),0.88 (0.63),297,10.05 (8.75),64.12 (26.1),4.49 (12.11),0.59 (0.3),0
