,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,12941,0.59 (0.34),0.07 (0.0),12941,8.09 (4.74),49.87 (33.44),0.92 (0.42),0.7 (0.0),
1,2,12619,0.69 (0.36),0.1 (0.0),12619,6.64 (3.49),42.82 (28.29),0.85 (0.38),0.87 (0.15),
2,3,4996,0.96 (0.42),0.15 (0.0),4996,6.43 (2.84),39.2 (23.61),0.89 (0.37),0.87 (0.15),
3,4,1914,1.21 (0.47),0.21 (0.0),1914,5.71 (2.2),42.45 (22.66),0.88 (0.37),0.85 (0.17),
4,5,729,1.53 (0.58),0.3 (0.0),729,5.04 (1.9),46.57 (23.4),0.83 (0.59),0.81 (0.2),
5,6,238,1.93 (0.68),0.43 (0.0),238,4.45 (1.57),56.01 (23.76),0.75 (0.49),0.84 (0.35),
6,7,40,2.18 (0.72),0.62 (0.0),40,3.5 (1.15),68.48 (24.42),0.6 (0.58),1.01 (0.6),
7,8,2,1.64 (0.04),0.89 (0.0),2,1.84 (0.05),82.92 (16.56),0.18 (0.09),2.12 (1.15),
8,,33479,0.75 (0.45),0.11 (0.06),33479,7.06 (3.96),45.19 (29.68),0.88 (0.4),0.8 (0.15),0
