,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,20837,0.68 (0.4),0.07 (0.0),20837,9.29 (5.45),50.59 (32.46),0.97 (0.41),0.69 (0.04),
1,2,7654,0.84 (0.42),0.1 (0.0),7654,8.04 (4.05),46.55 (26.64),0.89 (0.4),0.7 (0.02),
2,3,3071,1.08 (0.45),0.15 (0.0),3071,7.25 (3.02),44.96 (23.01),0.92 (0.4),0.7 (0.03),
3,4,1260,1.35 (0.52),0.21 (0.0),1260,6.34 (2.44),46.35 (23.28),0.89 (0.43),0.69 (0.08),
4,5,491,1.72 (0.6),0.3 (0.0),491,5.64 (1.97),49.59 (23.63),0.83 (0.5),0.66 (0.16),
5,6,149,2.2 (0.95),0.44 (0.03),149,5.0 (1.84),58.95 (26.14),0.75 (0.51),0.8 (0.43),
6,7,18,1.95 (0.62),0.62 (0.0),18,3.14 (1.0),69.35 (26.95),0.46 (0.55),0.87 (0.48),
7,8,,,,,,,,,
8,,33480,0.8 (0.48),0.1 (0.05),33480,8.63 (4.93),49.03 (30.07),0.94 (0.42),0.69 (0.05),0
