,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,33778,0.64 (0.38),0.07 (0.0),33778,8.83 (5.22),50.32 (32.84),0.95 (0.42),0.7 (0.03),1.67
1,2,20273,0.75 (0.39),0.1 (0.0),20273,7.17 (3.78),44.23 (27.74),0.86 (0.39),0.81 (0.15),2.51
2,3,8071,1.0 (0.44),0.15 (0.01),8071,6.74 (2.94),41.41 (23.58),0.9 (0.38),0.8 (0.15),2.54
3,4,3183,1.27 (0.52),0.21 (0.03),3183,5.96 (2.33),44.02 (23.02),0.89 (0.48),0.78 (0.16),2.48
4,5,1285,1.72 (1.17),0.32 (0.13),1285,5.39 (2.5),48.58 (23.91),0.97 (1.79),0.75 (0.22),2.4
5,6,536,2.85 (2.77),0.54 (0.36),536,5.53 (4.08),58.99 (26.27),1.74 (6.41),0.79 (0.41),2.41
6,7,222,5.31 (5.62),0.83 (0.44),222,7.63 (7.8),61.55 (28.21),2.83 (7.85),0.78 (0.45),1.73
7,8,128,7.17 (6.69),1.36 (0.56),128,6.95 (8.36),50.9 (24.99),3.67 (8.91),0.85 (0.46),2.51
8,9,51,9.41 (8.63),2.15 (0.63),51,5.42 (6.94),43.33 (25.74),4.9 (18.74),0.96 (0.3),3.64
9,10,14,12.6 (11.28),2.55 (0.8),14,6.22 (7.3),48.41 (29.26),2.26 (3.58),0.9 (0.24),1.08
10,11,13,10.14 (10.26),4.68 (2.42),11,3.11 (3.65),27.39 (23.58),15.26 (42.9),1.16 (0.67),
11,,67554,0.82 (0.92),0.11 (0.14),67552,7.84 (4.58),47.19 (29.94),0.94 (1.24),0.75 (0.13),2.09
