,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,33778,0.64 (0.38),0.07 (0.0),33778,8.83 (5.22),50.32 (32.84),0.95 (0.42),0.7 (0.03),1.67
1,2,20273,0.75 (0.39),0.1 (0.0),20273,7.17 (3.78),44.23 (27.74),0.86 (0.39),0.81 (0.15),2.51
2,3,8067,1.0 (0.44),0.15 (0.0),8067,6.75 (2.94),41.39 (23.55),0.9 (0.38),0.8 (0.15),2.54
3,4,3174,1.27 (0.49),0.21 (0.0),3174,5.96 (2.32),44.0 (22.99),0.88 (0.4),0.78 (0.16),2.6
4,5,1220,1.61 (0.59),0.3 (0.0),1220,5.28 (1.95),47.78 (23.54),0.83 (0.56),0.75 (0.2),3.15
5,6,387,2.04 (0.81),0.44 (0.02),387,4.66 (1.7),57.14 (24.75),0.75 (0.5),0.82 (0.38),6.67
6,7,58,2.11 (0.69),0.62 (0.0),58,3.39 (1.12),68.75 (25.24),0.56 (0.58),0.97 (0.57),29.0
7,8,2,1.64 (0.04),0.89 (0.0),2,1.84 (0.05),82.92 (16.56),0.18 (0.09),2.12 (1.15),
8,,66959,0.77 (0.46),0.1 (0.05),66959,7.85 (4.54),47.11 (29.94),0.91 (0.41),0.75 (0.12),6.02
